Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.2105,4.751333
Albania,Lek,ALL,0.0072,137.970833
Armenia,Dram,AMD,0.0016,642.707500
Angola,Readj Kwanza,AOA,0.0013,785.983333
Argentina,Peso,ARS,0.0102,97.953417
Australia,Dollar,AUD,0.5446,1.836092
Aruba,Florin,AWG,0.4319,2.315417
Azerbaijan,New Manat,AZN,0.4552,2.196692
Bosnia- Herzegovinia,Marka,BAM,0.4587,2.180308
Barbados,Dollar,BBD,0.3865,2.587067
Bangladesh,Taka,BDT,0.0091,109.718333
Bulgaria,Lev,BGN,0.4586,2.180367
Bahrain,Dinar,BHD,2.0531,0.487058
Burundi,Franc,BIF,0.0004,2495.950000
Bermuda,Dollar (US),BMD,0.7731,1.293542
Brunei,Dollar,BND,0.5640,1.773183
Bolivia,Boliviano,BOB,0.1119,8.938317
Brazil,Real,BRL,0.1440,6.942050
Bahamas,Dollar,BSD,0.7731,1.293542
Bhutan,Ngultrum,BTN,0.0104,96.196700
Botswana,Pula,BWP,0.0676,14.796667
Belarus,Rouble,BYN,0.3093,3.232717
Belize,Dollar,BZD,0.3865,2.587067
Canada,Dollar,CAD,0.5801,1.723967
Congo (DemRep),Congo Fr,CDF,0.0004,2463.205000
Switzerland,Franc,CHF,0.8363,1.195758
Chile,Peso,CLP,0.0010,1007.135000
China,Yuan,CNY,0.1138,8.789867
Colombia,Peso,COP,0.0002,4833.270000
Costa Rica,Colon,CRC,0.0013,765.158333
Cuba,Peso,CUP,0.7731,1.293542
Cape Verde Islands,Escudo,CVE,0.0072,138.523333
Czech Republic,Koruna,CZK,0.0336,29.739167
Djibouti,Franc,DJF,0.0044,229.883333
Denmark,Krone,DKK,0.1204,8.303700
Dominican Republic,Peso,DOP,0.0135,74.263333
Algeria,Dinar,DZD,0.0060,166.886667
Ecuador,Dollar,ECS,0.7731,1.293542
Egypt,Pound,EGP,0.0489,20.430833
Eritrea,Nakfa,ERN,0.0516,19.398333
Ethiopia,Birr,ETB,0.0212,47.111667
Eurozone,Euro,EUR,0.8970,1.114767
Fiji Islands,Dollar,FJD,0.3614,2.767367
Georgia,Lari,GEL,0.2423,4.127825
Ghana,Cedi,GHS,0.1336,7.486900
Gambia,Dalasi,GMD,0.0149,66.932317
Guinea Republic,Franc,GNF,0.0001,12628.364167
Guatemala,Quetzal,GTQ,0.1000,10.001933
Guyana,Dollar,GYD,0.0037,270.505833
Hong Kong,Dollar,HKD,0.0997,10.026542
Honduras,Lempira,HNL,0.0316,31.647500
Croatia,Kuna,HRK,0.1187,8.423958
Haiti,Gourde,HTG,0.0087,114.690000
Hungary,Forint,HUF,0.0025,396.121667
Indonesia,Rupiah,IDR,0.0001,18809.988333
Israel,Shekel,ILS,0.2265,4.415492
India,Rupee,INR,0.0104,96.196700
Iraq,Dinar,IQD,0.0006,1602.635833
Iceland,Krona,ISK,0.0057,175.959167
Jamaica,Dollar,JMD,0.0054,186.800000
Jordan,Dinar,JOD,1.0904,0.917108
Japan,Yen,JPY,0.0073,136.731667
Kenya,Schilling,KES,0.0071,140.160000
Kyrgyz Republic,Som,KGS,0.0097,103.279167
Cambodia,Riel,KHR,0.0002,5272.730000
Comoros,Franc,KMF,0.0018,548.425833
South Korea,Won,KRW,0.0007,1506.367500
Kuwait,Dinar,KWD,2.5222,0.396475
Cayman Islands,Dollar,KYD,0.9428,1.060692
Kazakhstan,Tenge,KZT,0.0018,546.324167
Lao People's Dem Rep,Kip,LAK,0.0001,11834.261667
Lebanon,Pound,LBP,0.0005,1958.484167
Sri Lanka,Rupee,LKR,0.0041,243.107500
Liberia,Dollar (US),LRD,0.7731,1.293542
Lesotho,Loti,LSL,0.0470,21.266667
Libya,Dinar,LYD,0.4004,2.497567
Morocco,Dirham,MAD,0.0829,12.065000
Moldova,Leu,MDL,0.0447,22.356667
Madagascar,Malagasy Ariary,MGA,0.0002,4948.669167
Macedonia,Denar,MKD,0.0146,68.645833
Myanmar,Kyat,MMK,0.0006,1771.008333
Mongolia,Tugrik,MNT,0.0003,3663.994167
Macao,Pataca,MOP,0.0968,10.327725
Mauritania,Ouguiya,MRU,0.0211,47.439167
Mauritius,Rupee,MUR,0.0194,51.450000
Maldive Islands,Rufiyaa,MVR,0.0502,19.932500
Malawi,Kwacha,MWK,0.0010,972.155000
Mexico,Mexican Peso,MXN,0.0355,28.140833
Malaysia,Ringgit,MYR,0.1846,5.417408
Mozambique,Metical,MZN,0.0108,92.478333
Nigeria,Naira,NGN,0.0020,501.564167
Nicaragua,Gold Cordoba,NIO,0.0224,44.655000
Norway,Norwegian Krone,NOK,0.0827,12.086667
Nepal,Rupee,NPR,0.0065,153.920000
New Zealand,Dollar,NZD,0.5104,1.959167
Oman,Rial,OMR,2.0078,0.498067
Panama,Balboa,PAB,0.7731,1.293542
Peru,New Sol,PEN,0.2183,4.581367
Papua New Guinea,Kina,PGK,0.2219,4.505708
Philippines,Peso,PHP,0.0157,63.600833
Pakistan,Rupee,PKR,0.0048,209.940833
Poland,Zloty,PLN,0.1997,5.007900
Paraguay,Guarani,PYG,0.0001,8832.770833
Qatar,Riyal,QAR,0.2123,4.709917
Romania,New Leu,RON,0.1847,5.415200
Serbia,Dinar,RSD,0.0076,131.072500
Russia,Rouble,RUB,0.0103,96.965000
Rwanda,Franc,RWF,0.0008,1244.740000
Saudi Arabia,Riyal,SAR,0.2061,4.852992
Soloman Islands,Dollar,SBD,0.0948,10.553000
Seychelles,Rupee,SCR,0.0409,24.449167
Sudan Republic,Pound,SDG,0.0140,71.515000
Sweden,Krona,SEK,0.0862,11.605000
Singapore,Dollar,SGD,0.5640,1.773183
Sierra Leone,Leone,SLL,0.0001,12957.001667
Somali Republic,Schilling,SOS,0.0013,754.263333
Surinam,Dollar,SRD,0.0708,14.131467
Saotome & Principe,Dobra,STD,0.0000,27681.016667
El Salvador,Colon,SVC,0.0884,11.317500
Swaziland,Lilangeni,SZL,0.0470,21.266667
Thailand,Baht,THB,0.0249,40.240000
Turkmenistan,New Manat,TMT,0.2206,4.533900
Tunisia,Dinar,TND,0.2780,3.597400
Tonga Islands,Pa'anga (AUS),TOP,0.5446,1.836092
Turkey,Turkish  Lira,TRY,0.1068,9.361358
Trinidad/Tobago,Dollar,TTD,0.1145,8.735967
Taiwan,Dollar,TWD,0.0266,37.559167
Tanzania,Schilling,TZS,0.0003,2997.416667
Ukraine,Hryvnia,UAH,0.0279,35.803333
Uganda,Schilling,UGX,0.0002,4806.030000
USA,Dollar,USD,0.7731,1.293542
Uruguay,Peso,UYU,0.0180,55.613333
Uzbekistan,Sum,UZS,0.0001,13272.061667
Venezuela,Bolivar Fuerte,VEF,0.0000,310877.333333
Vietnam,Dong,VND,0.0000,29998.280833
Vanuatu,Vatu,VUV,0.0067,148.303333
Western Samoa,Tala,WST,0.2945,3.395500
Cameroon,CFA Franc,XAF,0.0014,731.237500
Antigua,E Caribbean Dollar,XCD,0.2863,3.492542
Benin,CFA Franc,XOF,0.0014,731.237500
Fr. Polynesia,CFP Franc,XPF,0.0075,133.023333
Yemen (Rep of),Rial,YER,0.0031,323.984167
South Africa,Rand,ZAR,0.0470,21.268750
Zambia,Kwacha,ZMW,0.0395,25.295833
Zimbabwe,Dollar,ZWL,0.0021,468.124167
