Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham,AED,0.1985,5.036608
Albania,Lek,ALL,0.007,143.280958
Armenia,Dram,AMD,0.0015,679.396625
Angola,Readj Kwanza,AOA,0.0012,840.224358
Argentina,Peso,ARS,0.0074,134.622542
Australia,Dollar,AUD,0.5397,1.8529
Aruba,Florin,AWG,0.4074,2.454475
Azerbaijan,New Manat,AZN,0.4292,2.32985
Bosnia- Herzegovinia,Marka,BAM,0.4354,2.296483
Barbados,Dollar,BBD,0.3646,2.742417
Bangladesh,Taka,BDT,0.0086,116.877292
Bulgaria,Lev,BGN,0.4354,2.296692
Bahrain,Dinar,BHD,1.9344,0.51695
Burundi,Franc,BIF,0.0004,2720.572308
Bermuda,Dollar (US),BMD,0.7293,1.371217
Brunei,Dollar,BND,0.5406,1.849633
Bolivia,Boliviano,BOB,0.1055,9.475058
Brazil,Real,BRL,0.1354,7.383258
Bahamas,Dollar,BSD,0.7293,1.371217
Bhutan,Ngultrum,BTN,0.0098,101.97445
Botswana,Pula,BWP,0.0652,15.346392
Belarus,Rouble,BYN,0.2878,3.474067
Belize,Dollar,BZD,0.3646,2.742417
Canada,Dollar,CAD,0.5819,1.718633
Congo (DemRep),Congo Fr,CDF,0.0004,2724.914992
Switzerland,Franc,CHF,0.7924,1.261917
Chile,Peso,CLP,0.0009,1061.542942
China,Yuan,CNY,0.1134,8.822225
Colombia,Peso,COP,0.0002,5246.333825
Costa Rica,Colon,CRC,0.0012,856.750483
Cuba,Peso,CUP,0.7293,1.371208
Cape Verde Islands,Escudo,CVE,0.0077,129.912975
Czech Republic,Koruna,CZK,0.0336,29.749125
Djibouti,Franc,DJF,0.0041,243.687983
Denmark,Krone,DKK,0.1145,8.733058
Dominican Republic,Peso,DOP,0.0128,77.971208
Algeria,Dinar,DZD,0.0054,186.727808
Ecuador,Dollar,ECS,0.7293,1.371217
Egypt,Pound,EGP,0.0465,21.528508
Eritrea,Nakfa,ERN,0.0486,20.5646
Ethiopia,Birr,ETB,0.016,62.526067
Eurozone,Euro,EUR,0.8517,1.174183
Fiji Islands,Dollar,FJD,0.3493,2.862567
Georgia,Lari,GEL,0.2295,4.356567
Ghana,Cedi,GHS,0.1213,8.246033
