Country,Unit Of Currency,Currency Code,Sterling value of Currency Unit £,Currency Units per £1
Eurozone,Euro,EUR,0.726,1.377437
Abu Dhabi,Dirham,AED,0.178,5.617715
Albania,Lek,ALL,0.0052,192.233831
Algeria,Dinar,DZD,0.0065,153.017646
Angola,Readj Kwanza,AOA,0.0056,179.568367
Antigua,E Caribbean Dollar,XCD,0.2421,4.130179
Argentina,Peso,ARS,0.0712,14.037548
Armenia,Dram,AMD,0.0014,730.6634
Aruba,Florin,AWG,0.3653,2.737471
Australia,Dollar,AUD,0.4916,2.034292
Azerbaijan,New Manat,AZN,0.6514,1.535137
Bahamas,Dollar,BSD,0.6534,1.530538
Bahrain,Dinar,BHD,1.7336,0.576827
Bangladesh,Taka,BDT,0.0084,119.104992
Barbados,Dollar,BBD,0.3269,3.059387
Belarus,Rouble,BYR,0,24079.84737
Belize,Dollar,BZD,0.327,3.058137
Benin,Franc,CFA,0.0011,901.980046
Bermuda,Dollar (US),BMD,0.6534,1.530538
Bhutan,Ngultrum,BTN,0.0102,98.143187
Bolivia,Boliviano,BOB,0.0947,10.557679
Bosnia- Herzegovinia,Marka,BAM,0.3717,2.690275
Botswana,Pula,BWP,0.0648,15.4398
Brazil,Real,BRL,0.197,5.076827
Brunei,Dollar,BND,0.4764,2.09915
Bulgaria,Lev,BGN,0.3717,2.690038
Burkina Faso,Franc,CFA,0.0011,901.980046
Burundi,Franc,BIF,0.0004,2394.192352
Cambodia,Riel,KHR,0.0002,6216.972687
Cameroon Republic,Franc,CFA,0.0011,901.980046
Canada,Dollar,CAD,0.5124,1.951654
Cape Verde Islands,Escudo,CVE,0.0066,151.846646
Cayman Islands,Dollar,KYD,0.7972,1.254344
Central African Republic,Franc,CFA,0.0011,901.980046
Chad,Franc,CFA,0.0011,901.980046
Chile,Peso,CLP,0.001,996.370454
China,Yuan,CNY,0.1052,9.505037
Colombia,Peso,COP,0.0002,4164.852829
Comoros,Franc,KMF,0.0015,675.780462
Congo (Brazaville),Franc,CFA,0.0011,901.980046
Congo (DemRep),Congo Fr,CDF,0.0007,1413.383087
Costa Rica,Colon,CRC,0.0012,816.970533
Cote d'Ivoire,Franc,CFA,0.0011,901.980046
Croatia,Kuna,HRK,0.0956,10.465646
Cuba,Peso,CUP,0.6538,1.529537
Czech Republic,Koruna,CZK,0.0266,37.533369
Denmark,Krone,DKK,0.0974,10.270454
Djibouti,Franc,DJF,0.0037,273.048819
Dominica,E Caribbean Dollar,XCD,0.2421,4.130179
Dominican Republic,Peso,DOP,0.0146,68.710954
Dubai,Dirham,AED,0.178,5.617715
Ecuador,Dollar,ECS,0.6534,1.530538
Egypt,Pound,EGP,0.0851,11.751173
El Salvador,Colon,SVC,0.0753,13.285217
Equatorial Guinea,Franc,CFA,0.0011,901.980046
Eritrea,Nakfa,ERN,0.0435,22.964285
Ethiopia,Birr,ETB,0.0316,31.626637
Fiji Islands,Dollar,FJD,0.313,3.194563
Fr. Polynesia,Franc,CFP,0.0061,164.117132
Gabon,Franc,CFA,0.0011,901.980046
Gambia,Dalasi,GMD,0.0159,63.07811
Georgia,Lari,GEL,0.2896,3.452683
Ghana,Cedi,GHS,0.1735,5.764697
Grenada,E Caribbean Dollar,XCD,0.2421,4.130179
Guatemala,Quetzal,GTQ,0.0854,11.709317
Guinea Bissau,Franc,CFA,0.0011,901.980046
Guinea Republic,Franc,GNF,0.0001,11314.51788
Guyana,Dollar,GYD,0.0033,306.632931
Haiti,Gourde,HTG,0.013,77.008237
Honduras,Lempira,HNL,0.0301,33.223748
Hong Kong,Dollar,HKD,0.0843,11.861838
Hungary,Forint,HUF,0.0023,426.207017
Iceland,Krona,ISK,0.005,201.548187
India,Rupee,INR,0.0102,98.143187
Indonesia,Rupiah,IDR,0,20435.62194
Iraq,Dinar,IQD,0.0006,1792.199458
Israel,Shekel,ILS,0.1682,5.9466
Jamaica,Dollar,JMD,0.0056,178.569379
Japan,Yen,JPY,0.0054,185.254427
Jordan,Dinar,JOD,0.9224,1.084179
Kazakhstan,Tenge,KZT,0.003,335.87236
Kenya,Schilling,KES,0.0067,149.915017
Kuwait,Dinar,KWD,2.1737,0.460042
Kyrgyz Republic,Som,KGS,0.0102,98.008696
Lao People's Dem Rep,Kip,LAK,0.0001,12428.74771
Lebanon,Pound,LBP,0.0004,2306.354808
Lesotho,Loti,LSL,0.0516,19.398063
Liberia,Dollar (US),USD,0.6534,1.530538
Libya,Dinar,LYD,0.4858,2.058446
Macao,Pataca,MOP,0.0819,12.210492
Macedonia,Denar,MKD,0.0118,84.479937
Madagascar,Malagasy Ariary,MGA,0.0002,4731.082538
Malawi,Kwacha,MWK,0.0013,756.899462
Malaysia,Ringgit,MYR,0.1676,5.965808
Maldive Islands,Rufiyaa,MVR,0.043,23.28051
